system:index,District_Name,NDVI,Year,.geo
1_1_2_00010000000000001815,Lucknow,0.4289154559379068,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0001000000000000180c,Gorakhpur,0.37916474096527525,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_000100000000000017f8,Aligarh,0.4303181655178403,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_00010000000000001825,Varanasi,0.41921753106152915,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_00010000000000001818,Meerut,0.4752289621524547,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_000100000000000017f7,Agra,0.37691565368178037,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_000100000000000017ff,Bareilly,0.448770218647205,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_00010000000000001811,Jhansi,0.41327355192999166,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_00010000000000001815,Lucknow,0.4329182883739568,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000180c,Gorakhpur,0.3697024343224858,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017f8,Aligarh,0.383400468193167,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001825,Varanasi,0.3917631388589313,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001818,Meerut,0.447489980148146,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017f7,Agra,0.3695313044105213,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017ff,Bareilly,0.36272719854235386,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001811,Jhansi,0.39185297605955416,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001815,Lucknow,0.40119599985106014,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
