system:index,District_Name,NDVI,Year,.geo
2_00010000000000001836,Mahoba,0.29284824766289574,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017fb,Bahraich,0.3835976816284275,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001806,Faizabad,0.3976286142122325,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001826,Ambedkar Nagar,0.3828148310960647,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001839,Sant Ravi Das Nagar,0.3734275587987517,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000183a,Shravasti,0.4011482887581139,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017f8,Aligarh,0.3374491118298999,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017f9,Allahabad,0.3428778083852291,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000017fd,Banda,0.3975526557556259,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000180b,Gonda,0.3919785797260113,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001817,Mathura,0.3082544011324745,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000181a,Moradabad,0.38622858996027853,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001825,Varanasi,0.34858258486123667,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000182a,Balrampur,0.405329274964939,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000182b,Chandauli,0.39452507596397973,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000182c,Chitrakoot,0.3952461420048993,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000182f,Hathras,0.30118636277676836,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001830,Jyotiba Phule Nagar,0.4255545690749699,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001833,Kaushambi,0.37711051973188753,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001800,Basti,0.3696873441092965,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001802,Bulandshahr,0.4058987443030153,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
