State_Name,District_Name,Year,Crop,Yield
rajasthan,alwar,2015,other kharif pulses,0.21428571428571427
rajasthan,alwar,2015,rice,1.4621212121212122
rajasthan,alwar,2015,sesamum,0.2330004755111745
rajasthan,alwar,2015,soyabean,1.0
rajasthan,alwar,2015,urad,0.2222222222222222
rajasthan,alwar,2015,barley,2.894949341052792
rajasthan,alwar,2015,gram,0.8880351262349067
rajasthan,alwar,2015,masoor,0.9095238095238095
rajasthan,alwar,2015,peas & beans (pulses),2.0
rajasthan,alwar,2015,rapeseed &mustard,1.0521615699461158
rajasthan,alwar,2015,wheat,3.0893784332906917
rajasthan,alwar,2015,coriander,1.0344827586206897
rajasthan,alwar,2015,dry chillies,1.3812154696132597
rajasthan,alwar,2015,garlic,1.0
rajasthan,alwar,2015,guar seed,0.6149490912551147
rajasthan,alwar,2015,onion,8.480505470796732
rajasthan,alwar,2015,potato,1.6623376623376624
rajasthan,alwar,2015,sannhamp,0.4375
rajasthan,alwar,2015,sugarcane,32.82786885245902
rajasthan,alwar,2015,sweet potato,1.0
rajasthan,alwar,2015,tobacco,1.7285714285714286
rajasthan,alwar,2016,arhar/tur,0.8704074816299265
rajasthan,alwar,2016,bajra,1.7972301411628928
rajasthan,alwar,2016,cotton(lint),0.41964038727524205
rajasthan,alwar,2016,groundnut,1.3051671732522796
rajasthan,alwar,2016,jowar,0.7064725486756709
rajasthan,alwar,2016,maize,1.6458084230104955
rajasthan,alwar,2016,moong(green gram),0.3611111111111111
rajasthan,alwar,2016,moth,0.15384615384615385
rajasthan,alwar,2016,other kharif pulses,0.42857142857142855
rajasthan,alwar,2016,rice,1.5748031496062993
rajasthan,alwar,2016,sesamum,0.37423312883435583
rajasthan,alwar,2016,soyabean,1.0
rajasthan,alwar,2016,urad,0.25
rajasthan,alwar,2016,barley,3.2537764350453173
rajasthan,alwar,2016,gram,1.1707166754710336
rajasthan,alwar,2016,masoor,0.9473684210526315
rajasthan,alwar,2016,peas & beans (pulses),0.9787234042553191
rajasthan,alwar,2016,rapeseed &mustard,1.3870240256937667
rajasthan,alwar,2016,wheat,3.55629172090962
rajasthan,alwar,2016,coriander,1.1891891891891893
rajasthan,alwar,2016,dry chillies,2.898263027295285
rajasthan,alwar,2016,guar seed,1.1583132530120481
rajasthan,alwar,2016,onion,5.871477272727272
rajasthan,alwar,2016,potato,3.142857142857143
rajasthan,alwar,2016,sannhamp,0.3333333333333333
rajasthan,alwar,2016,sugarcane,59.267716535433074
rajasthan,alwar,2016,sweet potato,1.7142857142857142
rajasthan,alwar,2016,tobacco,1.0925925925925926
rajasthan,alwar,2017,arhar/tur,1.030716723549488
rajasthan,alwar,2017,bajra,1.7439075365953631
rajasthan,alwar,2017,cotton(lint),0.3609149007736293
rajasthan,alwar,2017,groundnut,1.693069306930693
rajasthan,alwar,2017,jowar,0.6936419850959251
rajasthan,alwar,2017,maize,1.6924744897959183
rajasthan,alwar,2017,moong(green gram),0.4
rajasthan,alwar,2017,moth,0.3333333333333333
rajasthan,alwar,2017,other kharif pulses,0.3333333333333333
rajasthan,alwar,2017,rice,2.032258064516129
rajasthan,alwar,2017,sesamum,0.5323508267433501
rajasthan,alwar,2017,soyabean,1.0
rajasthan,alwar,2017,urad,0.6
rajasthan,alwar,2017,barley,2.9120454864523375
rajasthan,alwar,2017,gram,1.0857502161439911
rajasthan,alwar,2017,masoor,0.7142857142857143
rajasthan,alwar,2017,other oilseeds,0.2680965147453083
rajasthan,alwar,2017,peas & beans (pulses),1.6470588235294117
rajasthan,alwar,2017,rapeseed &mustard,1.2188540702806192
rajasthan,alwar,2017,wheat,3.4948495612202257
rajasthan,alwar,2017,coriander,0.7704918032786885
rajasthan,alwar,2017,dry chillies,1.7665094339622642
rajasthan,alwar,2017,garlic,1.0
rajasthan,alwar,2017,guar seed,1.1515780970515261
rajasthan,alwar,2017,onion,3.9817467652495377
rajasthan,alwar,2017,potato,4.271317829457364
rajasthan,alwar,2017,sannhamp,1.380952380952381
rajasthan,alwar,2017,sugarcane,39.224489795918366
rajasthan,alwar,2017,sweet potato,3.3666666666666667
rajasthan,alwar,2017,tobacco,0.5645161290322581
rajasthan,alwar,2018,arhar/tur,0.8355233348436792
rajasthan,alwar,2018,bajra,1.6808556697842711
rajasthan,alwar,2018,cotton(lint),0.40008431703204045
rajasthan,alwar,2018,groundnut,1.360192423331329
rajasthan,alwar,2018,jowar,0.6261498834784742
rajasthan,alwar,2018,maize,1.7843372051251347
rajasthan,alwar,2018,moong(green gram),0.40625
rajasthan,alwar,2018,moth,0.2692307692307692
rajasthan,alwar,2018,other kharif pulses,0.5
rajasthan,alwar,2018,rice,1.8075471698113208
rajasthan,alwar,2018,sesamum,0.2896032435563278
rajasthan,alwar,2018,urad,0.3333333333333333
rajasthan,alwar,2018,barley,3.693100158982512
rajasthan,alwar,2018,gram,1.2859939864345151
rajasthan,alwar,2018,masoor,0.8688524590163934
rajasthan,alwar,2018,other  rabi pulses,0.7045283018867925
rajasthan,alwar,2018,other oilseeds,0.3399638336347197
rajasthan,alwar,2018,peas & beans (pulses),0.5539568345323741
rajasthan,alwar,2018,rapeseed &mustard,1.660541381802012
rajasthan,alwar,2018,wheat,4.04341489786804
rajasthan,alwar,2018,coriander,1.1111111111111112
rajasthan,alwar,2018,dry chillies,1.684981684981685
rajasthan,alwar,2018,garlic,0.6666666666666666
rajasthan,alwar,2018,guar seed,1.1506425511661114
rajasthan,alwar,2018,onion,8.104350902016272
rajasthan,alwar,2018,potato,8.791208791208792
rajasthan,alwar,2018,sannhamp,1.0338983050847457
rajasthan,alwar,2018,sugarcane,50.68
rajasthan,alwar,2018,tobacco,1.1951219512195121
rajasthan,alwar,2019,arhar/tur,0.30368098159509205
rajasthan,alwar,2019,bajra,1.1269163278716936
rajasthan,alwar,2019,cotton(lint),0.3897364771151179
rajasthan,alwar,2019,groundnut,2.1027592768791625
rajasthan,alwar,2019,jowar,0.34037146553317316
rajasthan,alwar,2019,maize,0.8795119471276055
rajasthan,alwar,2019,moong(green gram),0.037037037037037035
rajasthan,alwar,2019,other kharif pulses,0.125
rajasthan,alwar,2019,rice,1.5144508670520231
rajasthan,alwar,2019,sesamum,0.34949409780775714
rajasthan,alwar,2019,soyabean,1.0
rajasthan,alwar,2019,urad,0.2
rajasthan,alwar,2019,barley,3.7092135140714237
rajasthan,alwar,2019,gram,1.0892264359722361
rajasthan,alwar,2019,masoor,0.9
rajasthan,alwar,2019,other  rabi pulses,0.6146788990825688
rajasthan,alwar,2019,other oilseeds,0.3682373472949389
rajasthan,alwar,2019,rapeseed &mustard,1.5632143212332172
rajasthan,alwar,2019,wheat,3.749346473029046
