District_Name,Year,Yield
Deoria,2015,2.1850012219367367
Deoria,2016,2.50960227092518
Deoria,2017,2.754001039586354
Deoria,2018,2.7169967593292537
Deoria,2019,2.5400028479017065
Deoria,2020,2.9649988902415236
Deoria,2021,3.0830027525906734
Deoria,2022,3.1070006933922287
Deoria,2023,3.0241417922385385
Deoria,2024,1.8770058992295542
Etah,2015,2.765001982534356
Etah,2016,2.8319989805603405
Etah,2017,2.8119983100971693
Etah,2018,3.215001466525997
Etah,2019,3.0369972753657524
Etah,2020,3.239001171646163
Etah,2021,3.508996746563973
Etah,2022,3.386997017462865
Etah,2023,3.6160035195514064
Etah,2024,1.9800005987844675
Etawah,2015,3.056003146244171
Etawah,2016,3.2270041429897445
Etawah,2017,2.7809949814531967
Etawah,2018,3.482995016149387
Etawah,2019,2.9136456908344734
Etawah,2020,3.5219999156687467
Etawah,2021,3.848176528568249
Etawah,2022,3.9136346656705268
Etawah,2023,3.7338288885207884
Etawah,2024,1.706001655629139
Faizabad,2015,2.6110038736786816
Faizabad,2016,2.685005133925742
Faizabad,2017,2.757994497867293
Faizabad,2018,2.81900073220548
Faizabad,2019,2.6150000462907244
Faizabad,2020,2.8190012023753797
Faizabad,2021,2.9619988442805645
Faizabad,2022,2.9589991764673225
Faizabad,2023,2.467002144860584
Faizabad,2024,2.0600030835925667
Farrukhabad,2015,3.1233620316222654
Farrukhabad,2016,3.2590033767077804
Farrukhabad,2017,3.1678710156517766
Farrukhabad,2018,3.4364413309982487
Farrukhabad,2019,3.462561473990441
Farrukhabad,2020,3.5846860476209947
Farrukhabad,2021,3.794994696634041
Farrukhabad,2022,3.614171243598928
Farrukhabad,2023,3.483292863175676
Farrukhabad,2024,2.340419732897247
Fatehpur,2015,2.1587569228308463
Fatehpur,2016,2.4716102040261894
Fatehpur,2017,2.5752611977192577
Fatehpur,2018,2.9000382799540643
Fatehpur,2019,2.7389502078796277
Fatehpur,2020,3.27305233304402
Fatehpur,2021,3.275170005730862
Fatehpur,2022,3.2844370492321935
Fatehpur,2023,3.4157910726671368
Fatehpur,2024,1.9595055266691919
Firozabad,2015,3.101995698494473
Firozabad,2016,2.934998055821629
Firozabad,2017,3.283995793901157
Firozabad,2018,3.454635287703596
Firozabad,2019,3.3640008320883528
Firozabad,2020,3.644998477989768
Firozabad,2021,3.6110013617445675
Firozabad,2022,3.706999135661018
Firozabad,2023,3.6099976176418798
Firozabad,2024,1.9240006546376989
Gautam Buddha Nagar,2015,2.9540020476993494
Gautam Buddha Nagar,2016,2.87900423931406
Gautam Buddha Nagar,2017,3.1699981318886605
Gautam Buddha Nagar,2018,3.4769945501652817
Gautam Buddha Nagar,2019,3.5790087463556852
Gautam Buddha Nagar,2020,3.731001313314166
Gautam Buddha Nagar,2021,3.752002786485545
Gautam Buddha Nagar,2022,3.8879914660164583
Gautam Buddha Nagar,2023,4.177996965098634
Gautam Buddha Nagar,2024,2.146008193445244
Ghaziabad,2015,3.523001458305714
Ghaziabad,2016,4.014004315445117
Ghaziabad,2017,3.590995480846391
Ghaziabad,2018,4.025998966928467
Ghaziabad,2019,3.5210001183105257
Ghaziabad,2020,4.160994970135178
Ghaziabad,2021,4.36600389450398
Ghaziabad,2022,4.377014914797889
Ghaziabad,2023,4.109004402783696
Ghaziabad,2024,3.2550058229084486
Ghazipur,2015,2.1979974953712302
Ghazipur,2016,2.426890039012016
Ghazipur,2017,2.420552723370003
Ghazipur,2018,2.659756146680246
Ghazipur,2019,2.3267661081676794
Ghazipur,2020,2.699365110886567
Ghazipur,2021,2.8112219537851555
Ghazipur,2022,2.873456578012966
Ghazipur,2023,2.6258216501953573
Ghazipur,2024,1.7657711647232734
Gonda,2015,2.4910029489482493
Gonda,2016,2.7358393047428837
Gonda,2017,2.7779466869357656
Gonda,2018,2.912997156681121
Gonda,2019,2.720001255571599
Gonda,2020,2.9309984938535476
Gonda,2021,3.0050026411459467
